source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,phot_g_mean_mag,radial_velocity,has_rvs,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot
936550780336069504,119.54317952633289,52.88959109408343,13.294558072097418,-0.24743893539631046,-64.5116343132407,0.9521179,0.8350954,9.121778,-3.1390424,false,5753.183,4.4482,0.0786,74.9858
940895599317501824,105.18559587122822,37.37955535040219,7.80440911308161,-32.13663564024141,-113.86178934766252,0.9886117,0.8510761,10.251516,-37.249634,false,5654.2607,4.339,-0.1149,126.861
941808782380259712,98.52712468919964,35.452611008784835,5.82902153204667,8.971701200853845,5.664050305714321,0.94704634,0.83625126,11.0362215,2.0775368,false,5662.331,4.4049,-0.1508,169.8117
943691038910853376,102.57062854268058,37.08124314982627,6.908319763106976,9.23882303427644,-51.34512920614658,1.010153,0.8323202,10.658445,-68.50254,false,5701.8687,4.397,-0.2076,143.7903
944303574263165184,102.7860664561143,38.7664583068718,6.96739082770533,-5.703377940647171,10.055099329340138,5.0910573,0.8672743,10.820454,-0.050929517,false,,,,
952931953107020160,104.86614593760456,44.081015823140284,6.662051937099975,-11.946762513299511,-89.44538334988312,0.8938165,0.8564968,10.6333685,8.521191,false,5785.327,4.453,0.1388,148.7939
954133002057597184,102.85598670534836,45.61917203341672,6.10865652697989,-19.705780509182368,-92.40063303898125,2.2161922,0.80970573,10.554749,48.545414,false,5690.402,4.367,-0.1807,159.3923
955038827839741568,96.44503428838239,37.7204297439157,9.364574918267447,47.66205310159806,-5.922563070753695,1.1186678,0.775795,9.416596,2.8129036,false,5778.087,4.3057,-0.3637,106.2559
958553519838009088,95.69428205793442,42.319353971199355,6.559671714517166,-4.517852967160746,-49.28810651634383,0.9550461,0.8211918,10.365282,41.897636,false,5689.98,4.2777,-0.0486,151.0561
960610431216480256,91.75919914549215,41.65559099453422,8.995523521237544,38.90428403824506,-78.64679368787861,1.4041942,0.8613987,10.027487,-8.977429,false,5678.958,4.4215,0.1005,110.2438
961175030436950656,91.85909195439675,43.35012703048294,6.246221878859798,-25.72860935963348,-6.810438327793678,0.8975774,0.8471117,11.008181,-11.307957,false,5694.4487,4.4994,-0.0679,158.2238
961920254504816896,93.31668955191084,43.81865645436983,8.841204502827386,-5.2003863307736955,-116.94995067908089,1.1648421,0.8281517,9.813284,30.811825,false,5707.155,4.2993,-0.1099,112.2021
966224228349170560,101.68459707018047,46.72620862777743,5.9897282169813515,-24.050358894758496,-58.81397372150393,0.9713763,0.82546234,10.732223,48.5342,false,5808.8613,4.4142,0.0857,165.107
966953307636921856,100.21372967792809,48.25592139740136,8.436330186114304,12.662453190769197,-34.844906392002535,1.2056499,0.85161877,10.164265,-18.257618,false,5747.1035,4.4643,0.1128,117.0596
969976586656988288,93.00237005370624,48.511689387147186,5.699110500471636,0.6341428952881669,-41.51201526035328,0.86269975,0.8852396,11.2594795,32.19006,false,5771.6704,4.5254,-0.0332,171.4397
971518926592237184,94.81388111994927,51.54482523247471,5.725567836771428,-1.335568159675299,15.467048619900808,0.85460514,0.8434067,11.00719,-57.917233,false,5611.6665,4.4034,-0.2347,173.8068
974075772163134080,110.28147041732838,44.789430835314676,5.334513355317493,-30.641009691088286,-80.04278212712654,1.0230645,0.8387766,11.009475,48.445797,false,5596.687,4.3743,-0.2072,186.0354
978122937025899392,108.02524981068701,48.76774576115387,4.6910412702092845,-7.883800859699246,-34.553554740303866,1.0008686,0.85489655,11.359114,2.3203566,false,5571.7144,4.3506,-0.0275,208.2751
979193479098314112,105.65205978630435,49.70316816657228,3.272331507234239,-6.295385113284335,-26.287450803849453,1.4382747,0.80336666,11.661453,13.988005,false,5740.891,4.2591,-0.0329,292.3439
982388939061848320,116.72607994373905,50.31602739415443,10.307934726152668,-8.002190139736033,-76.37201306908801,0.98256034,0.79530334,9.668418,35.521538,true,5742.3413,4.4297,-0.1962,96.7056
983848162791527680,111.78957537214772,52.797797197252244,11.118651738583928,20.920359829934814,-41.83530044248517,1.237385,0.8258867,9.432533,-6.2964697,false,5667.204,4.3402,-0.0827,89.5907
985303160272616704,115.70850583067187,53.59090909821607,5.120883443561329,-31.15162587418461,-15.449680969854974,0.8947555,0.7982626,11.137927,21.021608,false,5755.824,4.3602,-0.2578,192.3032
985943385277256448,115.98219003058031,55.73095273552375,4.883054718864597,-31.55200748521371,-1.7536066784502278,1.7954435,0.83987427,11.186769,-47.475006,false,5737.813,4.362,-0.2881,190.3395
987061726041263360,111.78886101604427,54.64721380249759,4.247168033557323,22.632150806406315,-5.174344041105789,1.0424262,0.8410616,11.177357,-63.578373,false,5725.7896,4.2095,-0.1512,231.4117
987087491549682176,110.81005768911314,54.44581573112199,11.691175294845884,9.638236377838693,-0.06929595482296502,3.5420384,0.8598547,9.482514,-39.067406,false,5584.7847,4.39,-0.0578,82.936
989375235945216384,112.95998141740466,57.90127062116105,6.881513878613868,10.10001001053724,-39.00607387680803,1.0324327,0.8313179,10.681848,-20.050959,false,5716.7563,4.4328,-0.1319,144.0154
989690349106866560,109.04257071476947,56.29386697876629,7.764744678824218,1.3950796386621604,-87.65038719224407,3.568556,0.85016537,10.429402,12.321572,false,5665.1265,4.4881,0.0413,123.7892
989712541200919680,109.85482809771777,56.60025306448801,3.9511903870533347,-16.664938546720876,-63.332713895777516,0.90283906,0.85462856,11.375974,13.53709,false,5685.843,4.2662,0.1074,247.7858
